PERIODO,PROVINCIA,N_SEC,UBIGEO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN
2015,EL DORADO,17990,1101515,40349,13380,26969,2.86,2722.79,1166.91,3889.69
2015,ESPINAR,20844,646436,69146,31575,37571,3.53,6849.58,2935.53,9785.11
2015,FERREÑAFE,18663,841221,106600,56739,49861,3.3,12963.64,5555.87,18519.489999999998
2015,GENERAL SANCHEZ CERRO,37092,1982266,28333,12514,15819,4.42,1772.35,759.5799999999999,2531.91
2015,GRAN CHIMU,12330,524410,31109,6588,24521,1.77,1089.2,466.81,1556.02
2015,GRAU,30485,429905,26720,10793,15927,5.82,1500.29,642.99,2143.29
2015,HUACAYBAMBA,11150,401610,22843,4127,18716,1.6,552.24,236.68,788.9300000000001
2015,HUALGAYOC,7449,182106,102328,23581,78747,1.33,4276.14,1832.63,6108.759999999999
2015,HUALLAGA,21621,1322421,25328,13605,11723,3.57,3091.37,1324.8700000000001,4416.25
2015,HUAMALIES,30745,1105566,75505,20355,55150,5.03,3692.01,1582.3,5274.29
2015,HUAMANGA,36824,801736,277224,210018,67206,7.75,48540.86,20803.23,69344.13
2015,HUANCA SANCOS,9270,201210,10339,7011,3328,1.58,967.49,414.63,1382.12
2015,HUANCABAMBA,27468,1602436,126683,15405,111278,3.6799999999999997,2721.71,1166.45,3888.1499999999996
2015,HUANCANE,28244,1684836,64826,13186,51640,3.17,1575.29,675.14,2250.4
2015,HUANCAVELICA,50654,1712090,158594,66222,92372,8.86,12589.26,5395.41,17984.7
2015,HUANCAYO,81046,3363355,503139,449441,53698,12.01,91151.48,39064.94,130216.42
2015,HUANTA,27906,604878,108553,49265,59288,5.26,9273.31,3974.28,13247.560000000001
2015,HUANUCO,35906,1301391,309545,188470,121075,5.43,29446.81,12620.060000000001,42066.86
